"Domain","URL","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)"
"ravbrabantmwn.nl","https://www.ravbrabantmwn.nl","No","Yes","Yes","No",""
"rblbno.nl","http://rblbno.nl","No","No","","",""
"rblwest-brabant.nl","https://rblwest-brabant.nl","No","Yes","Yes","No",""
"rbobdekempen.nl","https://rbobdekempen.nl","No","Yes","Yes","No",""
"rbv.minfin.nl","https://rbv.minfin.nl","No","Yes","Yes","Yes",""
"rce-test.monumenten.nl","https://rce-test.monumenten.nl","No","Yes","Yes","Yes",""
"rd4.nl","https://www.rd4.nl","No","Yes","Yes","Yes",""
"rda.nl","https://www.rda.nl","No","Yes","Yes","Yes",""
"rdmaasland.nl","http://rdmaasland.nl","No","Yes","No","No",""
"rdoghm.nl","https://www.rdoghm.nl","No","Yes","Yes","No",""
"rdw.nl","https://www.rdw.nl","No","Yes","Yes","Yes",""
"realaboutrent.nl","https://www.realaboutrent.nl","No","Yes","Yes","Yes",""
"rechtenoverheid.nl","https://rechtenoverheid.nl","No","Yes","Yes","No",""
"rechtsbijstand.nl","https://www.rechtsbijstand.nl","No","Yes","Yes","No",""
"rechtspraak.nl","http://www.rechtspraak.nl","No","Yes","No","Yes",""
"rechtvoorjou.nl","https://rechtvoorjou.nl","No","Yes","Yes","No","Ready"
"rechtwijzer.nl","https://rechtwijzer.nl","No","Yes","Yes","No",""
"recreatiemiddennederland.nl","https://recreatiemiddennederland.nl","No","Yes","Yes","No",""
"recreatieschapdrenthe.nl","https://recreatieschapdrenthe.nl","No","Yes","Yes","No",""
"recreatieschapwestfriesland.nl","https://recreatieschapwestfriesland.nl","No","Yes","Yes","No",""
"reestmond.nl","https://www.reestmond.nl","No","Yes","Yes","No",""
"referendum-commissie.nl","https://www.referendum-commissie.nl","No","Yes","Yes","Yes",""
"referentiegrootboekschema.nl","https://referentiegrootboekschema.nl","No","Yes","Yes","Yes",""
"regelhulp.nl","https://www.regelhulp.nl","No","Yes","Yes","Yes",""
"regiebureau-pop.eu","https://regiebureau-pop.eu","No","Yes","Yes","No",""
"regiebureau-pop.nl","http://regiebureau-pop.nl","No","Yes","No","No",""
"regiesociaaldomein.nl","http://regiesociaaldomein.nl","No","No","","",""
"regioachterhoek.nl","http://www.regioachterhoek.nl","Yes","No","","",""
"regioburgemeesters.nl","https://regioburgemeesters.nl","No","Yes","Yes","No",""
"regiofoodvalley.nl","https://www.regiofoodvalley.nl","No","Yes","Yes","Yes",""
"regiogv.nl","https://www.regiogv.nl","No","Yes","Yes","Yes",""
"regionaalarchiefalkmaar.nl","https://www.regionaalarchiefalkmaar.nl","No","Yes","Yes","No",""
"regionaalarchiefrivierenland.nl","https://www.regionaalarchiefrivierenland.nl","No","Yes","Yes","No",""
"regionaalarchiefwestbrabant.nl","http://www.regionaalarchiefwestbrabant.nl","Yes","No","","",""
"regiorivierenland.nl","https://www.regiorivierenland.nl","No","Yes","Yes","No",""
"regiorvn.nl","http://www.regiorvn.nl","No","Yes","No","No",""
"regiostedendriehoek.nl","http://www.regiostedendriehoek.nl","Yes","No","","",""
"regiotaxihulstsluisterneuzen.nl","https://www.regiotaxihulstsluisterneuzen.nl","No","Yes","Yes","No",""
"regiotaxinoordoostbrabant.nl","https://www.regiotaxinoordoostbrabant.nl","No","Yes","Yes","No",""
"regiotwente.nl","https://regiotwente.nl","No","Yes","Yes","No",""
"registerdirecteur.nl","https://registerdirecteur.nl","No","Yes","Yes","Yes",""
"regulatoryscience.nl","https://www.regulatoryscience.nl","No","Yes","Yes","Yes",""
"reguleringvanwerk.nl","https://www.reguleringvanwerk.nl","No","Yes","Yes","Yes",""
"reikthuiszittersdehand.nl","http://reikthuiszittersdehand.nl","No","No","","",""
"reimerswaal.nl","https://www.reimerswaal.nl","No","Yes","Yes","Yes",""
"rekenkamer.amsterdam.nl","https://www.rekenkamer.amsterdam.nl","No","Yes","Yes","No",""
"rekenkamer.nl","https://www.rekenkamer.nl","No","Yes","Yes","Yes",""
"relocatema.nl","https://www.relocatema.nl","No","Yes","Yes","Yes",""
"renkum.nl","http://renkum.nl","No","No","","",""
"renswoude.nl","https://www.renswoude.nl","No","Yes","Yes","Yes",""
"reuseldemierden.nl","https://www.reuseldemierden.nl","No","Yes","Yes","Yes",""
"rhcl.nl","https://www.rhcl.nl","No","Yes","Yes","No",""
"rhcvechtenvenen.nl","https://rhcvechtenvenen.nl","No","Yes","Yes","Yes","Ready"
"rheden.nl","https://www.rheden.nl","No","Yes","Yes","No",""
"rhenen.nl","https://rhenen.nl","No","Yes","Yes","Yes",""
"rid-utrecht.nl","https://www.rid-utrecht.nl","No","Yes","Yes","No",""
"ridderkerk.nl","https://www.ridderkerk.nl","No","Yes","Yes","Yes",""
"riec.nl","https://www.riec.nl","No","Yes","Yes","Yes",""
"rijbewijs.nl","https://www.rijbewijs.nl","No","No","","",""
"rijkewaddenzee.nl","https://rijkewaddenzee.nl","No","Yes","Yes","Yes",""
"rijksbegroting.nl","http://rijksbegroting.nl","No","No","","",""
"rijksconsultatiedag.nl","https://rijksconsultatiedag.nl","No","Yes","Yes","No","Ready"
"rijksdienstcn.com","https://www.rijksdienstcn.com","No","Yes","Yes","Yes",""
"rijksfinancien.nl","https://rijksfinancien.nl","No","Yes","Yes","Yes",""
"rijksgithub.nl","https://www.rijksgithub.nl","No","No","","",""
"rijkshuisstijl.nl","https://www.rijkshuisstijl.nl","No","Yes","Yes","Yes",""
"rijksictdashboard.nl","https://rijksictdashboard.nl","No","Yes","Yes","Yes",""
"rijksictgilde.nl","https://www.rijksictgilde.nl","No","Yes","Yes","Yes",""
"rijksictstage.nl","https://www.rijksictstage.nl","No","Yes","Yes","Yes",""
"rijksinnovatiecommunity.nl","https://rijksinnovatiecommunity.nl","No","Yes","Yes","No","Ready"
"rijksinspecties.nl","https://www.rijksinspecties.nl","No","Yes","Yes","Yes",""
"rijksnormering.nl","https://www.rijksnormering.nl","No","Yes","Yes","No",""
"rijksoverheid.bouwbesluit.com","https://rijksoverheid.bouwbesluit.com","No","Yes","Yes","No",""
"rijksoverheid.nl","https://www.rijksoverheid.nl","No","Yes","Yes","Yes",""
"rijksoverheidinbeeld.nl","https://www.rijksoverheidinbeeld.nl","No","Yes","Yes","Yes",""
"rijksrecherche.nl","https://www.rijksrecherche.nl","No","Yes","Yes","Yes",""
"rijksschoonmaak.nl","https://www.rijksschoonmaak.nl","No","Yes","Yes","Yes",""
"rijkstalentencentrum.nl","https://www.rijkstalentencentrum.nl","No","Yes","Yes","No",""
"rijksvaccinatieprogramma.nl","https://rijksvaccinatieprogramma.nl","No","Yes","Yes","Yes",""
"rijksvastgoedbedrijf.nl","https://www.rijksvastgoedbedrijf.nl","No","Yes","Yes","Yes",""
"rijkswaterstaat.nl","https://www.rijkswaterstaat.nl","No","Yes","Yes","Yes",""
"rijkswaterstaatstrooit.nl","https://rijkswaterstaatstrooit.nl","No","Yes","Yes","No",""
"rijkswegennoord.nl","https://www.rijkswegennoord.nl","No","Yes","Yes","No",""
"rijnland.net","https://www.rijnland.net","No","Yes","Yes","No",""
"rijschoolgegevens.nl","http://www.rijschoolgegevens.nl","Yes","No","","",""
"rijssen-holten.nl","http://www.rijssen-holten.nl","No","Yes","No","No",""
"rijswijk.nl","https://www.rijswijk.nl","No","Yes","Yes","Yes",""
"rinis.nl","https://www.rinis.nl","No","Yes","Yes","No",""
"rinis.org","http://www.rinis.org","No","Yes","No","No",""
"risicokaart.nl","https://www.risicokaart.nl","No","Yes","Yes","No",""
"risicotoolboxbodem.nl","https://www.risicotoolboxbodem.nl","No","Yes","Yes","Yes",""
"risse.nl","https://risse.nl","No","Yes","Yes","No",""
"rivm.nl","https://www.rivm.nl","No","Yes","Yes","Yes",""
"rivmtoolkit.nl","http://www.rivmtoolkit.nl","Yes","No","","",""
"rli.nl","https://rli.nl","No","Yes","Yes","No",""
"rmn.nl","https://www.rmn.nl","No","Yes","Yes","No",""
"roerdalen.nl","https://www.roerdalen.nl","No","Yes","Yes","Yes",""
"roermond.nl","https://www.roermond.nl","No","Yes","Yes","Yes",""
"rogplus.nl","https://www.rogplus.nl","No","Yes","Yes","No",""
"roosendaal.nl","https://roosendaal.nl","No","Yes","Yes","Yes",""
"rotterdam.nl","https://www.rotterdam.nl","No","Yes","Yes","Yes",""
"row-minvws.nl","https://www.row-minvws.nl","No","Yes","Yes","Yes",""
"royal-house.nl","https://www.royal-house.nl","No","Yes","Yes","Yes",""
"rozendaal.nl","http://rozendaal.nl","No","No","","",""
"rsddeliemers.nl","https://www.rsddeliemers.nl","No","Yes","Yes","Yes",""
"rsdhw.nl","http://www.rsdhw.nl","Yes","No","","",""
"rsdkrh.nl","https://www.rsdkrh.nl","No","Yes","Yes","Yes",""
"rsj.nl","https://rsj.nl","No","Yes","Yes","Yes",""
"rucphen.nl","https://www.rucphen.nl","No","Yes","Yes","Yes",""
"ruddrenthe.nl","http://ruddrenthe.nl","No","No","","",""
"rudnhn.nl","https://rudnhn.nl","No","Yes","Yes","No",""
"rudzeeland.nl","http://rudzeeland.nl","No","No","","",""
"rudzuidlimburg.nl","http://www.rudzuidlimburg.nl","No","No","","",""
"ruimteconferentie.nl","http://www.ruimteconferentie.nl","Yes","No","","",""
"ruimteinregels.nl","http://www.ruimteinregels.nl","No","Yes","No","No",""
"ruimtelijkeadaptatie.nl","https://ruimtelijkeadaptatie.nl","No","Yes","Yes","Yes",""
"ruimtelijkeplannen.nl","https://www.ruimtelijkeplannen.nl","No","No","","","Ready"
"ruimtevoorderivier.nl","http://ruimtevoorderivier.nl","No","No","","",""
"ruimtevoorredzaamheid.nl","http://www.ruimtevoorredzaamheid.nl","No","No","","",""
"rva.nl","https://www.rva.nl","No","Yes","Yes","No",""
"rvdkraadsnet.nl","https://www.rvdkraadsnet.nl","No","Yes","Yes","No",""
"rvig.nl","https://www.rvig.nl","No","Yes","Yes","Yes",""
"rvo.nl","https://www.rvo.nl","No","Yes","Yes","No",""
"rvomagazines.nl","https://www.rvomagazines.nl","No","Yes","Yes","Yes",""
"rvr.org","https://www.rvr.org","No","Yes","Yes","No",""
"rwsduurzamemobiliteit.nl","https://rwsduurzamemobiliteit.nl","No","Yes","Yes","No",""
"rwseconomie.nl","https://www.rwseconomie.nl","No","Yes","Yes","Yes",""
"rwsenvironment.eu","https://rwsenvironment.eu","No","Yes","Yes","No",""
"rwsleefomgeving.nl","https://www.rwsleefomgeving.nl","No","Yes","Yes","No",""
"rwsnatura2000.nl","https://www.rwsnatura2000.nl","No","Yes","Yes","Yes",""
"s-bb.nl","https://www.s-bb.nl","No","Yes","Yes","Yes",""
"s-hertogenbosch.nl","https://www.s-hertogenbosch.nl","No","Yes","Yes","Yes",""
"sabewazeeland.nl","https://www.sabewazeeland.nl","No","Yes","Yes","No",""
"saip.nl","https://www.saip.nl","No","Yes","Yes","Yes",""
"salha.nl","http://salha.nl","No","No","","",""
"sallcondiensten.nl","https://www.sallcondiensten.nl","No","Yes","Yes","No",""
"samenmetenaanluchtkwaliteit.nl","https://www.samenmetenaanluchtkwaliteit.nl","No","Yes","Yes","Yes",""
"samennl.nl","http://www.samennl.nl","No","No","","",""
"samensnelinternet.nl","https://samensnelinternet.nl","No","Yes","Yes","Yes",""
"samenwerkenaanontwerpkracht.nl","http://samenwerkenaanontwerpkracht.nl","No","No","","",""
"samenwerkenaanriviernatuur.nl","https://www.samenwerkenaanriviernatuur.nl","No","Yes","Yes","Yes",""
"samh.nl","https://samh.nl","No","Yes","Yes","No",""
"sanctieuitvoering.nl","https://www.sanctieuitvoering.nl","No","Yes","Yes","Yes",""
"sawa-vth.nl","https://sawa-vth.nl","No","Yes","Yes","Yes",""
"sbr-nl.nl","https://sbr-nl.nl","No","Yes","Yes","Yes",""
"sbr-wonen.nl","https://sbr-wonen.nl","No","Yes","Yes","No",""
"sbv-z.nl","https://www.sbv-z.nl","No","Yes","Yes","Yes",""
"schadedoormijnbouw.nl","https://schadedoormijnbouw.nl","No","Yes","Yes","Yes",""
"schadefonds.nl","http://www.schadefonds.nl","No","Yes","No","Yes",""
"schadeschap.nl","http://schadeschap.nl","No","No","","",""
"schagen.nl","https://www.schagen.nl","No","Yes","Yes","Yes",""
"schakeldagen.nl","https://schakeldagen.nl","No","Yes","Yes","No",""
"scheldestromen.nl","https://scheldestromen.nl","No","Yes","Yes","Yes",""
"scherpenzeel.nl","https://www.scherpenzeel.nl","No","Yes","Yes","Yes",""
"schiedam.nl","https://www.schiedam.nl","No","Yes","Yes","Yes",""
"schielandendekrimpenerwaard.nl","https://www.schielandendekrimpenerwaard.nl","No","Yes","Yes","No",""
"schiermonnikoog.nl","https://www.schiermonnikoog.nl","No","Yes","Yes","Yes",""
"schinnen.nl","https://www.schinnen.nl","Yes","Yes","Yes","Yes",""
"schoolleidersregisterpo.nl","https://schoolleidersregisterpo.nl","No","Yes","Yes","Yes",""
"schoolleidersregistervo.nl","https://www.schoolleidersregistervo.nl","No","Yes","Yes","Yes",""
"schouwen-duiveland.nl","https://www.schouwen-duiveland.nl","No","Yes","Yes","Yes",""
"sciorijk.nl","https://www.sciorijk.nl","No","Yes","Yes","Yes",""
"scp.nl","https://www.scp.nl","No","Yes","Yes","Yes",""
"sds-check.nl","https://www.sds-check.nl","No","Yes","Yes","Yes",""
"sectorplannen.nl","https://www.sectorplannen.nl","No","Yes","Yes","Yes",""
"sed-organisatie.nl","http://sed-organisatie.nl","No","Yes","No","No",""
"selfservice.kvk.nl","https://selfservice.kvk.nl","No","Yes","Yes","No",""
"ser.nl","https://www.ser.nl","No","Yes","Yes","No",""
"serviceinfoapp.nl","http://serviceinfoapp.nl","No","Yes","No","Yes","Ready"
"servicepunt71.nl","https://www.servicepunt71.nl","No","Yes","Yes","Yes",""
"sieunddieniederlande.nl","https://www.sieunddieniederlande.nl","No","Yes","Yes","Yes",""
"simpelveld.nl","https://www.simpelveld.nl","No","Yes","Yes","Yes",""
"sint-michielsgestel.nl","https://www.sint-michielsgestel.nl","No","Yes","Yes","Yes",""
"sintanthonis.nl","https://www.sintanthonis.nl","No","Yes","Yes","Yes",""
"sita.nl","http://www.sita.nl","Yes","No","","",""
"sittard-geleen.nl","https://www.sittard-geleen.nl","No","Yes","Yes","Yes",""
"skal.nl","https://www.skal.nl","No","Yes","Yes","Yes",""
"slachtofferinformatie-om.nl","http://slachtofferinformatie-om.nl","No","No","","",""
"sliedrecht.nl","https://www.sliedrecht.nl","No","Yes","Yes","Yes",""
"slimmeengezondestad.nl","https://www.slimmeengezondestad.nl","No","Yes","Yes","No",""
"slimwatermanagement.nl","https://www.slimwatermanagement.nl","No","Yes","Yes","Yes",""
"slotcoordination.nl","https://slotcoordination.nl","No","Yes","Yes","No",""
"sluispedia.nl","http://www.sluispedia.nl","No","No","","",""
"sluisplanning.nl","https://www.sluisplanning.nl","No","Yes","Yes","Yes",""
"smallingerland.nl","https://www.smallingerland.nl","No","Yes","Yes","Yes",""
"sn-forward.nl","http://www.sn-forward.nl","No","No","","",""
"snn.nl","https://www.snn.nl","No","Yes","Yes","No",""
"sociaaldomein-maastricht-heuvelland.nl","https://www.sociaaldomein-maastricht-heuvelland.nl","No","Yes","Yes","No",""
"sociaalfondsminienw.nl","https://www.sociaalfondsminienw.nl","No","Yes","Yes","Yes",""
"socialedienstbbs.nl","http://socialedienstbbs.nl","No","No","","",""
"socialedienstoostachterhoek.nl","https://www.socialedienstoostachterhoek.nl","No","Yes","Yes","No",""
"socialemediagidsbz.nl","http://socialemediagidsbz.nl","No","Yes","No","No",""
"socialemediagidsvenj.nl","http://socialemediagidsvenj.nl","No","Yes","No","No",""
"socialestabiliteit.nl","https://www.socialestabiliteit.nl","No","Yes","Yes","Yes",""
"socrates2.org","https://socrates2.org","No","Yes","Yes","No",""
"sodm.nl","https://www.sodm.nl","No","Yes","Yes","Yes",""
"soest.nl","https://www.soest.nl","No","Yes","Yes","Yes",""
"sohw.org","http://www.sohw.org","Yes","No","","",""
"solarhighways.eu","https://solarhighways.eu","No","Yes","Yes","No",""
"someren.nl","https://www.someren.nl","No","Yes","Yes","Yes",""
"sonenbreugel.nl","https://www.sonenbreugel.nl","No","Yes","Yes","Yes",""
"soweco.nl","https://www.soweco.nl","No","Yes","Yes","No",""
"sozawe-nw-fryslan.nl","https://www.sozawe-nw-fryslan.nl","No","Yes","Yes","Yes",""
"spaarnwoude.nl","https://www.spaarnwoude.nl","No","Yes","Yes","No",""
"spaceoffice.nl","https://www.spaceoffice.nl","No","Yes","Yes","No",""
"sportenbewegenincijfers.nl","https://www.sportenbewegenincijfers.nl","No","Yes","Yes","Yes",""
"sppcriteria.com","http://www.sppcriteria.com","Yes","No","","",""
"ssc-campus.nl","https://www.ssc-campus.nl","No","Yes","Yes","Yes",""
"ssc-ict.nl","https://ssc-ict.nl","No","Yes","Yes","Yes",""
"ssc-ictspecials.nl","https://www.ssc-ictspecials.nl","No","Yes","Yes","Yes",""
"ssc-zl.nl","https://www.ssc-zl.nl","No","Yes","Yes","Yes","Ready"
"sso-noord.nl","https://www.sso-noord.nl","No","Yes","Yes","Yes",""
"sso3w.nl","https://www.sso3w.nl","No","Yes","Yes","Yes",""
"staatsbosbeheer.nl","https://www.staatsbosbeheer.nl","No","Yes","Yes","No",""
"staatscommissieparlementairstelsel.nl","https://www.staatscommissieparlementairstelsel.nl","No","Yes","Yes","Yes",""
"staatsexamensnt2.nl","https://www.staatsexamensnt2.nl","No","Yes","Yes","No",""
"staatsieportretten-bestellen.nl","https://www.staatsieportretten-bestellen.nl","No","Yes","Yes","Yes",""
"staatvenz.nl","https://www.staatvenz.nl","No","Yes","Yes","Yes",""
"stadsbankoostnederland.nl","https://stadsbankoostnederland.nl","No","Yes","Yes","No",""
"stadskanaal.nl","https://stadskanaal.nl","No","Yes","Yes","Yes",""
"stagefonds.formulierdus-i.nl","https://stagefonds.formulierdus-i.nl","No","Yes","Yes","Yes",""
"standaarden.overheid.nl","http://standaarden.overheid.nl","No","Yes","No","Yes",""
"staphorst.nl","https://www.staphorst.nl","No","Yes","Yes","Yes",""
"startupdelta.org","https://www.startupdelta.org","No","Yes","Yes","No",""
"statiagovernment.com","http://statiagovernment.com","No","Yes","No","No",""
"stedebroec.nl","https://www.stedebroec.nl","No","Yes","Yes","Yes",""
"steenwijkerland.nl","http://steenwijkerland.nl","No","Yes","No","No","Ready"
"stempaginaesfaward.nl","http://www.stempaginaesfaward.nl","Yes","No","","",""
"stichtingspoor.nl","http://www.stichtingspoor.nl","Yes","No","","",""
"stichtsevecht.nl","https://www.stichtsevecht.nl","No","Yes","Yes","Yes",""
"stijl.mijn.overheid.nl","http://stijl.mijn.overheid.nl","No","Yes","No","Yes",""
"stimuleringsfonds.nl","https://stimuleringsfonds.nl","No","Yes","Yes","No",""
"stopheling.nl","https://stopheling.nl","No","Yes","Yes","Yes",""
"strafrechtketen.nl","https://www.strafrechtketen.nl","No","Yes","Yes","Yes",""
"strakszwangerworden.nl","https://strakszwangerworden.nl","No","Yes","Yes","No",""
"streekarchiefrijnlandsmidden.nl","http://www.streekarchiefrijnlandsmidden.nl","Yes","No","","",""
"streekarchiefvp.nl","https://streekarchiefvp.nl","No","Yes","Yes","Yes",""
"streekarchivariaat.nl","https://streekarchivariaat.nl","No","Yes","Yes","Yes","Ready"
"strijen.nl","https://www.strijen.nl","Yes","Yes","Yes","Yes",""
"stroomopwaarts.nl","https://www.stroomopwaarts.nl","No","Yes","Yes","Yes",""
"structuurfondsen.nl","http://www.structuurfondsen.nl","Yes","No","","",""
"studeermeteenplan.nl","https://www.studeermeteenplan.nl","No","Yes","Yes","Yes",""
"subscribe.government.nl","https://subscribe.government.nl","No","Yes","Yes","Yes",""
"subsidie.monumenten.nl","https://subsidie.monumenten.nl","No","Yes","Yes","Yes",""
"sudwestfryslan.nl","https://sudwestfryslan.nl","No","Yes","Yes","No",""
"summercourt.nl","https://summercourt.nl","No","Yes","Yes","No",""
"svb.nl","https://www.svb.nl","No","Yes","Yes","No",""
"svbabc.nl","https://www.svbabc.nl","No","Yes","Yes","No",""
"svdj.nl","https://www.svdj.nl","No","Yes","Yes","No",""
"svhw.nl","https://www.svhw.nl","No","Yes","Yes","Yes","Ready"
"swb.nl","https://www.swb.nl","No","Yes","Yes","No",""
"swvo.nl","https://www.swvo.nl","No","Yes","Yes","Yes","Ready"
"syntrophos.nl","https://syntrophos.nl","No","Yes","Yes","Yes",""
"t-diel.nl","http://www.t-diel.nl","No","Yes","No","Yes",""
"taalakkoord.nl","https://www.taalakkoord.nl","No","Yes","Yes","Yes",""
"taskforcekinderenveilig.nl","http://taskforcekinderenveilig.nl","No","No","","",""
"tcbb.nl","https://www.tcbb.nl","No","Yes","Yes","No",""
"tcbodem.nl","https://tcbodem.nl","No","Yes","Yes","No",""
"teamwork-against-trafficking-for-labour-exploitation.nl","https://www.teamwork-against-trafficking-for-labour-exploitation.nl","No","Yes","Yes","Yes",""
"techniekpact.nl","https://techniekpact.nl","No","Yes","Yes","No",""
"teebstad.nl","https://www.teebstad.nl","No","Yes","Yes","Yes",""
"telmeemettaal.nl","https://www.telmeemettaal.nl","No","Yes","Yes","No",""
"tenboer.nl","https://www.tenboer.nl","Yes","Yes","Yes","No",""
"tenderned.nl","https://www.tenderned.nl","No","Yes","Yes","No",""
"terneuzen.nl","https://www.terneuzen.nl","No","Yes","Yes","No",""
"terschelling.nl","https://www.terschelling.nl","No","Yes","Yes","Yes",""
"terugvoerplicht.nl","https://terugvoerplicht.nl","No","Yes","Yes","Yes",""
"teverantwoordenregelingen.rijksoverheid.nl","https://teverantwoordenregelingen.rijksoverheid.nl","No","Yes","Yes","Yes",""
"texel.nl","https://www.texel.nl","No","Yes","Yes","Yes","Ready"
"teylingen.nl","https://www.teylingen.nl","No","Yes","Yes","Yes",""
"thegfce.com","https://www.thegfce.com","No","Yes","Yes","Yes",""
"tholen.nl","https://www.tholen.nl","No","Yes","Yes","Yes",""
"tib-ivd.nl","https://www.tib-ivd.nl","No","Yes","Yes","Yes",""
"tiel.nl","https://www.tiel.nl","No","Yes","Yes","Yes",""
"tilburg.nl","https://tilburg.nl","No","Yes","Yes","Yes",""
"tno.nl","https://www.tno.nl","No","Yes","Yes","Yes",""
"toegangocw.nl","https://www.toegangocw.nl","No","Yes","Yes","Yes",""
"toegangsociaaldomein.nl","https://www.toegangsociaaldomein.nl","No","Yes","Yes","No",""
"toegankelijkheidsverklaring.nl","http://toegankelijkheidsverklaring.nl","No","No","","",""
"toekomstglb.nl","https://toekomstglb.nl","No","Yes","Yes","No",""
"toekomstreligieuserfgoed.nl","https://toekomstreligieuserfgoed.nl","No","Yes","Yes","Yes",""
"toeslagenanimatie.toeslagen.nl","https://toeslagenanimatie.toeslagen.nl","No","Yes","Yes","Yes",""
"toetsingonline.nl","https://www.toetsingonline.nl","No","Yes","Yes","No",""
"toetsingscommissievp.nl","https://www.toetsingscommissievp.nl","No","Yes","Yes","Yes",""
"toetsingskadervhj.nl","http://toetsingskadervhj.nl","No","No","","",""
"toezichtggsr.nl","http://toezichtggsr.nl","No","No","","",""
"toezichtopboa.nl","http://www.toezichtopboa.nl","No","Yes","No","Yes",""
"toezichtsociaaldomein.nl","https://www.toezichtsociaaldomein.nl","No","Yes","Yes","Yes",""
"tomingroep.nl","https://www.tomingroep.nl","No","Yes","Yes","No",""
"toolboxinclusief.nl","https://www.toolboxinclusief.nl","No","Yes","Yes","Yes",""
"toolkits.loketgezondleven.nl","https://toolkits.loketgezondleven.nl","Yes","Yes","Yes","No",""
"topcorridors.eu","http://topcorridors.eu","No","No","","",""
"topcorridors.nl","http://topcorridors.nl","No","No","","",""
"topinkomens.nl","https://www.topinkomens.nl","No","Yes","Yes","Yes",""
"topsectoragrifood.nl","https://topsectoragrifood.nl","No","Yes","Yes","No",""
"topsectoren.nl","https://www.topsectoren.nl","No","Yes","Yes","Yes",""
"transitieautoriteitjeugd.nl","https://transitieautoriteitjeugd.nl","No","Yes","Yes","No",""
"transitiecommissiesociaaldomein.nl","https://www.transitiecommissiesociaaldomein.nl","No","Yes","Yes","Yes",""
"transparantiebenchmark.nl","https://transparantiebenchmark.nl","No","Yes","Yes","Yes",""
"transplantatiestichting.nl","https://transplantatiestichting.nl","No","Yes","Yes","No",""
"transport-era.net","https://transport-era.net","No","Yes","Yes","No",""
"transportenlogistiek.zelfinspectie.nl","https://transportenlogistiek.zelfinspectie.nl","No","Yes","Yes","Yes",""
"trendsinbeeldocw.nl","https://www.trendsinbeeldocw.nl","Yes","Yes","Yes","Yes",""
"tribuut.nl","https://tribuut.nl","No","Yes","Yes","No",""
"tubbergen.nl","https://www.tubbergen.nl","No","Yes","Yes","Yes",""
"tuchtcollege-gezondheidszorg.nl","https://www.tuchtcollege-gezondheidszorg.nl","No","Yes","Yes","Yes",""
"tuinbouwbommelerwaard.nl","http://www.tuinbouwbommelerwaard.nl","Yes","No","","",""
"tweedekamer.nl","https://www.tweedekamer.nl","No","Yes","Yes","Yes",""
"twenterand.nl","https://www.twenterand.nl","No","Yes","Yes","Yes",""
"twiske-waterland.nl","https://www.twiske-waterland.nl","No","Yes","Yes","No",""
"tynaarlo.nl","https://www.tynaarlo.nl","No","Yes","Yes","No",""
"ubrijk.nl","https://www.ubrijk.nl","No","Yes","Yes","Yes",""
"uden.nl","https://www.uden.nl","No","Yes","Yes","Yes",""
"uiterwaarde.nl","https://www.uiterwaarde.nl","No","Yes","Yes","No",""
"uitgeest.nl","https://www.uitgeest.nl","No","Yes","Yes","Yes",""
"uithoorn.nl","https://www.uithoorn.nl","No","Yes","Yes","No",""
"uitvoeringvanbeleidszw.nl","https://www.uitvoeringvanbeleidszw.nl","No","Yes","Yes","Yes",""
"uitwisselportaal.nza.nl","https://uitwisselportaal.nza.nl","No","Yes","Yes","Yes",""
"uno.dfront.rijkscloud.nl","https://uno.dfront.rijkscloud.nl","No","Yes","Yes","Yes",""
"urk.nl","https://www.urk.nl","No","Yes","Yes","Yes",""
"usar.nl","https://www.usar.nl","No","Yes","Yes","No",""
"utrecht.nl","https://www.utrecht.nl","No","Yes","Yes","No",""
"uwbeslagvrijevoet.nl","http://www.uwbeslagvrijevoet.nl","No","No","","",""
"uwkindenalcohol.nl","http://www.uwkindenalcohol.nl","Yes","Yes","No","No",""
"uwkindenblowen.nl","http://www.uwkindenblowen.nl","Yes","No","","",""
"uwkindenroken.nl","http://www.uwkindenroken.nl","Yes","No","","",""
"uwkindenseks.nl","http://www.uwkindenseks.nl","Yes","No","","",""
"uwv.nl","https://www.uwv.nl","No","Yes","Yes","No",""
"uziregister.nl","https://uziregister.nl","No","Yes","Yes","Yes","Yes"
"v-lab.ubrijk.nl","https://v-lab.ubrijk.nl","No","Yes","Yes","No","Ready"
"vaals.nl","https://www.vaals.nl","No","Yes","Yes","Yes",""
"vaarweginformatie.nl","https://www.vaarweginformatie.nl","No","Yes","Yes","No",""
"valkenburg.nl","http://www.valkenburg.nl","No","No","","",""
"valkenswaard.nl","https://www.valkenswaard.nl","No","Yes","Yes","Yes",""
"vallei-veluwe.nl","https://www.vallei-veluwe.nl","No","Yes","Yes","Yes","Yes"
"vananaarbeter.nl","https://www.vananaarbeter.nl","No","Yes","Yes","No",""
"vang-hha.nl","https://www.vang-hha.nl","No","Yes","Yes","Yes",""
"varendoejesamen.nl","https://www.varendoejesamen.nl","No","Yes","Yes","No",""
"vastgoedvanhetrijk.nl","https://www.vastgoedvanhetrijk.nl","No","Yes","Yes","Yes",""
"vechtstromen.nl","https://www.vechtstromen.nl","No","Yes","Yes","Yes",""
"veendam.nl","http://veendam.nl","No","No","","",""
"veenendaal.nl","https://www.veenendaal.nl","No","Yes","Yes","Yes",""
